frequency_auc,k_on,master_seed,matched_pair_misordering,mean_active_increment,mean_coalition_score,mean_inactive_increment,mean_normal_score,mean_score_gap,mean_signed_increment,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc
0.0,20,27002,0.7835,0.0015052172138281849,0.0602086885531274,nan,0.240148686385257,-0.1799399978321296,0.0015052172138281849,0.24991783951026098,1.0,0.25,1.0,0.21781
0.0,400,27002,0.0,0.13119045023678483,10.626426469179572,0.00032596058931490815,2.1659160902446746,8.460510378934897,0.013575990166121236,0.5060836250082785,0.10125,0.5,0.1,1.0
0.0,200,27002,0.0,0.06175699934692879,4.946735647688994,0.0005513651882351289,2.0474176965227473,2.899317951166247,0.012807793428513535,0.5004604736192977,0.20025,0.5,0.2,1.0
0.0,133,27002,0.0075,0.034831100372905474,2.855958659526198,0.0006196144064748375,1.7853698952395232,1.0705887642866747,0.01116530495562708,0.5122972072931024,0.30825,0.5,0.3,0.9947218999999999
0.0,100,27002,0.206,0.022356661941994746,1.813125283495774,0.0005560596174033117,1.503629975701194,0.3094953077945801,0.009396203860025138,0.5067084196070542,0.4055,0.5,0.4,0.7843375
0.0,80,27002,0.5635,0.015079344675084976,1.228665004125924,0.0007261959284912212,1.2864153202767579,-0.057750316150833925,0.00803553692769409,0.5090826390824015,0.50925,0.5,0.5,0.42999000000000004
0.0,67,27002,0.745,0.011420224456308673,0.9342543020972437,0.0007453250821389347,1.162951694333085,-0.2286973922358414,0.007262351150069559,0.511125717420398,0.6105,0.5,0.6,0.25487682500000003
0.0,57,27002,0.836,0.00837168956882663,0.6811834509915008,0.0007070161098930092,0.9896511658025896,-0.3084677148110888,0.00617767679120688,0.5083797451587789,0.71375,0.5,0.7,0.1622153
0.0,50,27002,0.8745,0.007076570124989391,0.5707253805803942,0.0005999212368491152,0.9321843817150324,-0.36145900113463814,0.0058233385651342475,0.5038968439125637,0.8065,0.5,0.8,0.1274225
0.0,44,27002,0.901,0.005675475609676647,0.45411750543266727,0.0008382203954584709,0.8363828528982882,-0.3822653474656209,0.005236494698986348,0.4999231502643506,0.90925,0.5,0.9,0.0985009
0.0,40,27002,0.913,0.004732624918128502,0.3786099934502802,nan,0.7568582829193108,-0.3782482894690306,0.004732624918128502,0.49983567902052195,1.0,0.5,1.0,0.08185700000000001
0.0005875000000000463,600,27002,0.0,0.18020176427007176,21.894514358813723,0.00032596058931490815,2.9581149855338698,18.936399373279855,0.018538385711991536,0.7591254375124178,0.10125,0.75,0.1,1.0
0.0005287500000000056,300,27002,0.0,0.09808290737610373,11.784661321238865,0.0005513651882351289,3.210747215242469,8.573914105996396,0.020082056511355816,0.7506907104289464,0.20025,0.75,0.2,1.0
0.0008875000000000133,200,27002,0.0,0.062232919931765336,7.673319027586665,0.0006196144064748375,3.1368328242265906,4.536486203360074,0.01961191583464563,0.7703717402903795,0.30825,0.75,0.3,1.0
0.0005987500000000451,150,27002,0.0,0.04196660915238363,5.105238003387471,0.0005560596174033117,2.7749591996386096,2.330278803748861,0.017348037453837832,0.7600626294105812,0.4055,0.75,0.4,0.99997875
0.0006580000000000385,120,27002,0.016,0.03022860869378738,3.694540554554694,0.0007261959284912212,2.521139469688891,1.173401084865803,0.01575029962921829,0.7636239586236023,0.50925,0.75,0.5,0.980452
0.0006400000000000405,100,27002,0.1195,0.02255644423352995,2.754141840914007,0.0007453250821389347,2.2518935254600323,0.5022483154539747,0.01406101332406315,0.7628742051050718,0.6105,0.75,0.6,0.8770849999999999
0.0007397500000000296,86,27002,0.373,0.017605179788431027,2.1612998967267347,0.0007070161098930092,2.0433896279606882,0.11791026876604649,0.01276808043544952,0.7670290891869297,0.71375,0.75,0.7,0.62500755
0.0005493750000000492,75,27002,0.628,0.014317042014093458,1.732004157654956,0.0005999212368491152,1.865942551693954,-0.133938394038998,0.011662779143696678,0.7558452658688455,0.8065,0.75,0.8,0.372451875
0.0006129625000000435,67,27002,0.779,0.011948834663264478,1.4558400409548125,0.0008382203954584709,1.7499523747526748,-0.2941123337978624,0.010940546418461082,0.761246615175261,0.90925,0.75,0.9,0.22502157499999997
0.0005249999999999977,60,27002,0.857,0.009857949249452977,1.1829539099343573,nan,1.5767356247587112,-0.39378171482435387,0.009857949249452977,0.7497535185307829,1.0,0.75,1.0,0.1422335
0.5687249999999999,800,27002,0.0,0.21892469435936054,35.46580048621642,0.00032596058931490815,3.583807107793105,31.881993378423317,0.02245908238353203,1.012167250016557,0.10125,1.0,0.1,1.0
0.51091,400,27002,0.0,0.1291172537337016,20.684584048138998,0.0005513651882351289,4.202752311856741,16.481831736282256,0.026296684369464786,1.0009209472385954,0.20025,1.0,0.2,1.0
0.64796385,267,27002,0.0,0.08691278571046496,14.306322548263942,0.0006196144064748375,4.352002422266201,9.954320125997741,0.027219484460929793,1.0284462732876567,0.30825,1.0,0.3,1.0
