horizon,empirical_gap_mean,empirical_gap_ci_lower,empirical_gap_ci_upper,predicted_gap_mean,predicted_gap_ci_lower,predicted_gap_ci_upper,pair_error_mean,pair_error_ci_lower,pair_error_ci_upper
152,0.6697015044028718,0.63709253,0.70385545,0.6354253465411187,0.63241357,0.63858336,0.0014000000000000004,0.00091666664,0.0019333333
153,0.6749704162755562,0.64112145,0.7104642,0.6396057764525734,0.6365742,0.64278454,0.0013500000000000003,0.00085,0.0019
154,0.6817514847515878,0.64793986,0.7169668,0.6437862063640281,0.6407348,0.64698577,0.0012333333333333335,0.0007833333,0.0017166666
155,0.6864541052667438,0.653245,0.72135746,0.6479666362754828,0.64489543,0.65118694,0.0010833333333333333,0.0006833333,0.0015166666
156,0.6904639549573026,0.656906,0.72498107,0.6521470661869375,0.649056,0.6553882,0.0010666666666666667,0.00066666666,0.0015
157,0.6954333739913107,0.6619665,0.729856,0.6563274960983922,0.65321666,0.65958935,0.00105,0.00063333334,0.0015166666
158,0.6986579985035597,0.6657386,0.73247737,0.660507926009847,0.65737724,0.6637906,0.0010333333333333334,0.00063333334,0.0014833333
159,0.7041044540463655,0.67131114,0.73853,0.6646883559213015,0.6615379,0.66799176,0.0010333333333333334,0.00063333334,0.0014833333
160,0.7060997442147312,0.6730852,0.74034,0.6688687858327564,0.6656985,0.672193,0.00105,0.00065,0.0015
161,0.7122580389656143,0.67823106,0.7483429,0.6730492157442108,0.6698591,0.67639416,0.0010166666666666666,0.00063333334,0.0014666667
162,0.715094024095536,0.6816081,0.75060827,0.6772296456556659,0.67401975,0.6805954,0.0009833333333333335,0.0005833333,0.0014333334
163,0.7174483444433769,0.68320936,0.75375193,0.6814100755671206,0.67818034,0.6847966,0.0009833333333333332,0.0006,0.0014333334
164,0.7211734435718888,0.68777883,0.7567917,0.6855905054785755,0.682341,0.6889978,0.001,0.0006,0.0014666667
165,0.722802528032196,0.69008887,0.7577501,0.68977093539003,0.68650156,0.69319904,0.0009499999999999999,0.0005833333,0.0013833334
166,0.7256423615008954,0.693133,0.7606534,0.6939513653014848,0.6906622,0.6974002,0.0009666666666666666,0.0006,0.0014
167,0.7300169730363687,0.69769776,0.7645138,0.6981317952129393,0.6948228,0.70160145,0.000966666666666667,0.0005833333,0.0014
168,0.7344723319929506,0.70130354,0.770243,0.7023122251243943,0.69898343,0.7058026,0.0009333333333333335,0.00055,0.0013666666
169,0.735048355110754,0.70192534,0.7706695,0.7064926550358491,0.7031441,0.71000385,0.0009166666666666669,0.00053333334,0.0013666666
170,0.7375291752001495,0.7033609,0.7742808,0.7106730849473039,0.70730466,0.714205,0.0009500000000000002,0.00055,0.0014166667
171,0.7425773494862588,0.70827734,0.7793638,0.7148535148587584,0.7114653,0.71840626,0.0008833333333333334,0.00053333334,0.0013166667
172,0.749587488500538,0.71515805,0.78607285,0.7190339447702132,0.7156259,0.72260743,0.0008166666666666667,0.00045,0.00125
173,0.7528209936393372,0.71939987,0.78857136,0.7232143746816678,0.7197865,0.72680867,0.0008500000000000001,0.00048333334,0.0013
174,0.7553819727399714,0.7212975,0.79148394,0.7273948045931226,0.7239471,0.73100984,0.0008333333333333334,0.00046666668,0.0012833333
175,0.7587166241291581,0.72399855,0.7951502,0.7315752345045773,0.72810775,0.7352111,0.0008,0.00043333333,0.00125
176,0.7619735871418027,0.7276032,0.7979079,0.7357556644160319,0.73226833,0.73941225,0.0007500000000000002,0.00041666668,0.0011833333
177,0.7677590923986577,0.732316,0.80453414,0.7399360943274869,0.736429,0.7436135,0.0007333333333333333,0.0004,0.0011666666
178,0.7695549117679189,0.7346303,0.8058621,0.7441165242389415,0.7405896,0.7478147,0.0006166666666666667,0.00031666667,0.0009833333
179,0.7727840253877443,0.73789227,0.80902696,0.7482969541503962,0.7447502,0.7520159,0.0005166666666666667,0.00023333334,0.0008833333
180,0.7777477380832509,0.7425539,0.8138471,0.752477384061851,0.74891084,0.7562171,0.0004333333333333334,0.00016666666,0.0007833333
181,0.7825489699488483,0.7466436,0.81997496,0.7566578139733058,0.7530714,0.7604183,0.0003833333333333334,0.00013333333,0.00073333335
182,0.7888958650925689,0.75396824,0.82551295,0.7608382438847604,0.75723207,0.7646195,0.0003333333333333334,0.00011666667,0.0006166667
183,0.7919996800429969,0.756815,0.8288052,0.7650186737962151,0.76139265,0.7688207,0.00030000000000000003,1e-04,0.0005833333
184,0.7963139801945427,0.76044464,0.83385193,0.7691991037076702,0.7655533,0.77302194,0.00030000000000000003,1e-04,0.0005833333
185,0.8015726426978179,0.76628417,0.8384587,0.7733795336191247,0.7697139,0.7772231,0.0002666666666666667,0.00011666667,0.00045
186,0.8063561865292781,0.77138424,0.8426582,0.7775599635305793,0.7738745,0.78142434,0.00025,1e-04,0.00043333333
187,0.8077735346587847,0.77285033,0.8439146,0.7817403934420339,0.77803516,0.7856255,0.0002666666666666667,0.00011666667,0.00045
188,0.810968832501355,0.7758074,0.8474138,0.7859208233534889,0.78219575,0.78982675,0.00028333333333333335,0.00011666667,0.0005
189,0.8169530418522009,0.78132963,0.85378844,0.7901012532649434,0.7863564,0.7940279,0.0003166666666666667,0.00015,0.00053333334
190,0.8193589383011671,0.7840169,0.8560123,0.7942816831763984,0.790517,0.79822916,0.0003166666666666667,0.00015,0.00053333334
191,0.822322199077992,0.7873117,0.8589672,0.798462113087853,0.7946776,0.8024304,0.00030000000000000003,0.00011666667,0.0005166667
192,0.8254510215006079,0.7895763,0.8624302,0.8026425429993078,0.7988382,0.80663157,0.00028333333333333335,0.00011666667,0.0005
193,0.8269031397992108,0.79128927,0.8634976,0.8068229729107622,0.80299884,0.8108328,0.0003166666666666667,0.00011666667,0.0006
194,0.8300507511844714,0.7940119,0.86705613,0.8110034028222171,0.8071594,0.815034,0.0003166666666666667,0.00011666667,0.0006
195,0.8333135121627984,0.79718393,0.87065345,0.8151838327336718,0.81132007,0.8192352,0.0003333333333333333,0.00013333333,0.0006166667
196,0.8357797017427491,0.79978067,0.87306225,0.8193642626451267,0.81548065,0.8234364,0.0003500000000000001,0.00011666667,0.0007
197,0.8403116400838593,0.8033452,0.87884074,0.8235446925565814,0.8196413,0.8276376,0.0003500000000000001,0.00011666667,0.0007
198,0.845800233917556,0.8104418,0.8827999,0.8277251224680363,0.82380193,0.8318388,0.0003666666666666668,0.00013333333,0.0007004166
199,0.851924842426646,0.8160656,0.88965946,0.8319055523794909,0.8279625,0.83604,0.00038333333333333345,0.00015,0.0007166667
200,0.8582020963651457,0.8224244,0.8957683,0.8360859822909457,0.83212316,0.8402412,0.0003666666666666668,0.00015,0.0007
201,0.860571361707549,0.82458067,0.8984637,0.8402664122024002,0.83628374,0.8444424,0.0003166666666666667,1e-04,0.00065041665
202,0.8648570428580236,0.82943356,0.9018297,0.844446842113855,0.8404444,0.8486436,0.00025000000000000006,0.00011666667,0.00041666668
203,0.8672476756989884,0.83067423,0.90537137,0.8486272720253096,0.84460497,0.85284483,0.00025000000000000006,0.00011666667,0.00041666668
204,0.8707244399513817,0.8339588,0.9087743,0.8528077019367643,0.8487656,0.857046,0.00023333333333333339,0.00011666667,0.00036666667
205,0.8764326226723932,0.8391299,0.9154882,0.8569881318482193,0.8529262,0.86124724,0.00023333333333333339,0.00011666667,0.00036666667
206,0.8781577545492163,0.8412486,0.9169805,0.861168561759674,0.85708684,0.8654485,0.0002166666666666667,1e-04,0.00035
207,0.8814809963068375,0.8450922,0.9195469,0.8653489916711286,0.8612475,0.86964965,0.0002,1e-04,0.00031666667
208,0.8851285819784612,0.8489937,0.9226761,0.8695294215825834,0.86540806,0.8738509,0.0001666666666666667,8.333333e-05,0.00026666667
209,0.8901180799763705,0.8541351,0.9276781,0.8737098514940379,0.8695687,0.87805206,0.00018333333333333336,8.333333e-05,0.0003
